task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,seed,success_rate,mean,std,row_type
button-press,5,1,20000,32,20,0,0.6,0.7167,0.1027,per_seed
button-press,5,1,20000,32,20,1,0.85,0.7167,0.1027,per_seed
button-press,5,1,20000,32,20,2,0.7,0.7167,0.1027,per_seed
assembly,5,1,20000,32,20,0,0.15,0.2167,0.0943,per_seed
assembly,5,1,20000,32,20,1,0.15,0.2167,0.0943,per_seed
assembly,5,1,20000,32,20,2,0.35,0.2167,0.0943,per_seed
bin-picking,5,1,20000,32,20,0,0.3,0.4333,0.0943,per_seed
bin-picking,5,1,20000,32,20,1,0.5,0.4333,0.0943,per_seed
bin-picking,5,1,20000,32,20,2,0.5,0.4333,0.0943,per_seed
drawer-open,5,1,20000,32,20,0,0.65,0.7833,0.1027,per_seed
drawer-open,5,1,20000,32,20,1,0.9,0.7833,0.1027,per_seed
drawer-open,5,1,20000,32,20,2,0.8,0.7833,0.1027,per_seed
hammer,5,1,20000,32,20,0,0.8,0.6,0.1414,per_seed
hammer,5,1,20000,32,20,1,0.5,0.6,0.1414,per_seed
hammer,5,1,20000,32,20,2,0.5,0.6,0.1414,per_seed
AVERAGE,5,all,20000,32,20,all,N/A,0.55,0.1071,summary
