task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,5,2,20000,32,20,droid_frozen,0,0.6,0.6667,0.0624,per_seed
button-press,5,2,20000,32,20,droid_frozen,1,0.75,0.6667,0.0624,per_seed
button-press,5,2,20000,32,20,droid_frozen,2,0.65,0.6667,0.0624,per_seed
assembly,5,2,20000,32,20,droid_frozen,0,0.15,0.15,0.0,per_seed
assembly,5,2,20000,32,20,droid_frozen,1,0.15,0.15,0.0,per_seed
assembly,5,2,20000,32,20,droid_frozen,2,0.15,0.15,0.0,per_seed
bin-picking,5,2,20000,32,20,droid_frozen,0,0.1,0.2333,0.1027,per_seed
bin-picking,5,2,20000,32,20,droid_frozen,1,0.25,0.2333,0.1027,per_seed
bin-picking,5,2,20000,32,20,droid_frozen,2,0.35,0.2333,0.1027,per_seed
drawer-open,5,2,20000,32,20,droid_frozen,0,0.65,0.7833,0.0943,per_seed
drawer-open,5,2,20000,32,20,droid_frozen,1,0.85,0.7833,0.0943,per_seed
drawer-open,5,2,20000,32,20,droid_frozen,2,0.85,0.7833,0.0943,per_seed
hammer,5,2,20000,32,20,droid_frozen,0,0.5,0.4333,0.0624,per_seed
hammer,5,2,20000,32,20,droid_frozen,1,0.45,0.4333,0.0624,per_seed
hammer,5,2,20000,32,20,droid_frozen,2,0.35,0.4333,0.0624,per_seed
AVERAGE,5,all,20000,32,20,droid_frozen,all,N/A,0.4533,0.0643,summary
